,carat,cut,color,clarity,depth,table,x,y,z,clarity_num,color_num,cut_num,carat_log,price_predicted
0,0.91,Very Good,H,SI2,63.4,57.0,6.1,6.18,3.89,2.0,2.0,3.0,-0.09431067947124129,3715.0399447326326
1,0.38,Good,F,VS2,60.3,61.0,4.68,4.71,2.83,4.0,4.0,2.0,-0.9675840262617056,954.1550845146705
2,0.52,Ideal,H,VS2,61.8,56.0,5.19,5.16,3.2,4.0,2.0,5.0,-0.6539264674066639,1657.864652362153
3,1.1,Ideal,G,VS1,61.3,56.0,6.65,6.69,4.09,3.0,3.0,5.0,0.09531017980432493,5673.387432928381
4,2.28,Ideal,G,SI2,61.6,57.0,8.44,8.37,5.18,2.0,3.0,5.0,0.8241754429663494,18730.650847877332
5,2.01,Very Good,J,VS2,60.8,58.0,8.08,8.16,4.94,4.0,0.0,3.0,0.6981347220709843,17939.015068453187
6,1.06,Ideal,G,SI2,62.2,57.0,6.51,6.49,4.04,2.0,3.0,5.0,0.058268908123975824,4860.468696153933
7,0.7,Premium,E,SI1,60.1,58.0,5.81,5.83,3.5,1.0,5.0,4.0,-0.35667494393873245,2140.1291692659643
8,0.73,Premium,I,VS2,59.7,59.0,5.94,5.81,3.51,4.0,1.0,4.0,-0.31471074483970024,3013.212145554439
9,0.73,Ideal,H,IF,61.6,55.0,5.8,5.82,3.58,7.0,2.0,5.0,-0.31471074483970024,3940.2086377385212
10,1.0,Good,D,VS2,64.1,58.0,6.24,6.33,4.03,4.0,6.0,2.0,0.0,5245.240905538448
11,0.33,Ideal,G,VVS2,60.1,57.0,4.48,4.51,2.7,6.0,3.0,5.0,-1.1086626245216111,889.9417443117057
12,0.54,Ideal,J,VVS2,61.6,57.0,5.25,5.23,3.23,6.0,0.0,5.0,-0.616186139423817,2118.741330514512
13,0.33,Ideal,D,VS2,61.9,53.0,4.49,4.46,2.77,4.0,6.0,5.0,-1.1086626245216111,744.2209745098921
14,0.51,Fair,D,VS2,64.4,54.0,5.06,5.03,3.25,4.0,6.0,1.0,-0.6733445532637656,1602.1211226716603
15,0.51,Ideal,E,SI1,62.4,55.0,5.09,5.14,3.19,1.0,5.0,5.0,-0.6733445532637656,1225.1967520822225
16,0.3,Good,I,SI1,63.2,55.0,4.25,4.29,2.7,1.0,1.0,2.0,-1.2039728043259361,481.17777193663335
17,2.66,Good,H,SI2,64.3,60.0,8.71,8.65,5.58,2.0,2.0,2.0,0.9783261227936078,24573.63067380709
18,0.92,Premium,F,SI1,61.8,59.0,6.21,6.25,3.85,1.0,4.0,4.0,-0.08338160893905101,3463.329127825821
19,0.3,Ideal,G,IF,62.2,55.0,4.3,4.32,2.68,7.0,3.0,5.0,-1.2039728043259361,822.7816090466741
20,1.0,Very Good,H,SI1,62.0,54.0,6.43,6.47,4.0,1.0,2.0,3.0,0.0,4011.214901553713
21,0.34,Very Good,F,VS1,61.1,57.0,4.51,4.54,2.76,3.0,4.0,3.0,-1.0788096613719298,717.3116420087254
22,1.01,Very Good,F,SI2,62.4,58.0,6.37,6.41,3.99,2.0,4.0,3.0,0.009950330853168092,4463.928202274121
23,0.87,Ideal,F,VS1,62.0,55.0,6.1,6.13,3.79,3.0,4.0,5.0,-0.13926206733350766,3753.2550881324505
24,1.26,Premium,D,SI2,61.9,58.0,6.88,6.81,4.24,2.0,6.0,4.0,0.23111172096338664,6590.115437418381
25,0.38,Premium,E,VS1,60.2,58.0,4.66,4.71,2.82,3.0,5.0,4.0,-0.9675840262617056,872.5476083097483
26,0.55,Ideal,F,VVS2,62.3,54.0,5.29,5.27,3.29,6.0,4.0,5.0,-0.5978370007556204,2188.335877903007
27,0.65,Premium,G,SI1,61.9,58.0,5.54,5.51,3.42,1.0,3.0,4.0,-0.4307829160924542,1878.242329209292
28,0.41,Premium,D,VVS2,62.2,58.0,4.8,4.78,2.98,6.0,6.0,4.0,-0.8915981192837836,1304.3781558543533
29,0.7,Very Good,I,I1,63.2,59.0,5.62,5.59,3.54,0.0,1.0,3.0,-0.35667494393873245,1957.0870798920241
30,1.03,Very Good,I,VS1,62.9,53.0,6.45,6.5,4.07,3.0,1.0,3.0,0.02955880224154443,5052.96624456313
31,0.34,Ideal,F,VVS2,61.3,56.0,4.52,4.56,2.78,6.0,4.0,5.0,-1.0788096613719298,937.9882302555657
32,0.73,Ideal,I,VVS1,61.7,53.0,5.8,5.84,3.59,5.0,1.0,5.0,-0.31471074483970024,3295.031310637092
33,0.83,Ideal,D,SI2,62.1,56.0,6.0,6.04,3.74,2.0,6.0,5.0,-0.18632957819149348,3159.1794101837263
34,0.51,Very Good,G,SI1,63.0,53.0,5.1,5.13,3.22,1.0,3.0,3.0,-0.6733445532637656,1225.1967520822225
35,1.06,Ideal,E,VS2,61.3,57.0,6.54,6.57,4.02,4.0,5.0,5.0,0.058268908123975824,5812.16350758759
36,0.41,Ideal,D,VS1,61.8,57.0,4.75,4.8,2.95,3.0,6.0,5.0,-0.8915981192837836,997.5025342495735
37,1.03,Ideal,F,VS2,60.4,56.0,6.59,6.56,3.97,4.0,4.0,5.0,0.02955880224154443,5525.5591651560435
38,0.32,Ideal,D,SI1,61.3,55.0,4.41,4.46,2.72,1.0,6.0,5.0,-1.1394342831883648,539.1055915743681
39,0.3,Premium,J,VS1,62.6,58.0,4.32,4.27,2.69,3.0,0.0,4.0,-1.2039728043259361,575.3938686870692
40,0.32,Very Good,D,VVS2,60.1,58.0,4.41,4.44,2.66,6.0,6.0,3.0,-1.1394342831883648,842.9911566648304
41,0.33,Ideal,G,VS1,61.7,56.0,4.44,4.47,2.75,3.0,3.0,5.0,-1.1086626245216111,680.5688529059781
42,0.25,Ideal,G,VS1,62.7,54.0,4.05,4.08,2.55,3.0,3.0,5.0,-1.3862943611198906,417.3492725162481
43,0.3,Ideal,F,VS1,61.0,56.0,4.37,4.35,2.66,3.0,4.0,5.0,-1.2039728043259361,575.3938686870692
44,1.26,Very Good,F,IF,60.0,60.0,7.04,7.09,4.24,7.0,4.0,3.0,0.23111172096338664,10304.862576031595
45,1.14,Ideal,J,VS1,61.6,56.0,6.71,6.73,4.14,3.0,0.0,5.0,0.131028262406404,6041.777587468699
46,1.51,Premium,H,SI1,62.8,60.0,7.22,7.14,4.51,1.0,2.0,4.0,0.412109650826833,8289.269424542157
47,0.51,Very Good,E,SI2,62.0,57.0,5.09,5.13,3.17,2.0,5.0,3.0,-0.6733445532637656,1339.786734152754
48,0.32,Ideal,G,IF,61.0,57.0,4.44,4.48,2.72,7.0,3.0,5.0,-1.1394342831883648,921.8342823617199
49,0.94,Premium,E,SI2,60.4,59.0,6.37,6.34,3.84,2.0,5.0,4.0,-0.06187540371808753,3933.4589265618833
50,0.51,Premium,E,VS2,60.6,58.0,5.15,5.12,3.11,4.0,5.0,4.0,-0.6733445532637656,1602.1211226716603
51,1.12,Ideal,H,SI2,61.4,56.0,6.69,6.66,4.1,2.0,2.0,5.0,0.11332868530700327,5355.4470851209435
52,1.33,Premium,G,SI2,60.3,58.0,7.19,7.16,4.33,2.0,3.0,4.0,0.28517894223366247,7248.55361770856
53,0.32,Premium,H,VS2,61.7,59.0,4.35,4.4,2.7,4.0,2.0,4.0,-1.1394342831883648,704.9581662241728
54,0.7,Ideal,E,VS2,62.6,57.0,5.63,5.68,3.54,4.0,5.0,5.0,-0.35667494393873245,2798.5269643423358
55,1.35,Ideal,H,VVS1,61.9,57.0,7.06,7.09,4.38,5.0,2.0,5.0,0.30010459245033816,9731.01482955808
56,0.23,Good,F,VS2,63.8,57.0,3.93,3.84,2.48,4.0,4.0,2.0,-1.4696759700589417,394.04637151532626
57,0.9,Very Good,F,I1,61.9,59.0,6.16,6.18,3.82,0.0,4.0,3.0,-0.10536051565782628,3046.8517385238306
58,1.03,Ideal,D,SI1,61.3,56.0,6.48,6.54,3.99,1.0,6.0,5.0,0.02955880224154443,4225.58385055059
59,1.02,Good,E,SI2,62.8,64.0,6.36,6.32,3.98,2.0,5.0,2.0,0.01980262729617973,4542.068131537642
60,0.55,Ideal,H,VVS2,61.7,57.0,5.28,5.26,3.25,6.0,2.0,5.0,-0.5978370007556204,2188.335877903007
61,0.34,Ideal,E,IF,61.7,56.0,4.46,4.48,2.76,7.0,5.0,5.0,-1.0788096613719298,1025.7162252120365
62,0.71,Premium,D,VVS2,60.0,58.0,5.92,5.84,3.53,6.0,6.0,4.0,-0.342490308946776,3431.149202761202
63,0.55,Good,G,SI1,63.6,61.0,5.22,5.16,3.3,1.0,3.0,2.0,-0.5978370007556204,1399.473883792324
64,0.54,Ideal,G,VS2,61.5,55.0,5.24,5.27,3.23,4.0,3.0,5.0,-0.616186139423817,1771.814557310631
65,1.23,Ideal,H,IF,61.3,57.0,6.87,6.92,4.23,7.0,2.0,5.0,0.20701416938432612,9876.633878235205
66,0.27,Premium,E,VVS1,60.6,58.0,4.18,4.2,2.54,5.0,5.0,4.0,-1.3093333199837622,571.518286708297
67,0.53,Ideal,D,VS2,61.4,56.0,5.18,5.21,3.19,4.0,6.0,5.0,-0.6348782724359695,1714.4303737153348
68,1.25,Ideal,G,SI2,61.1,55.0,6.95,6.99,4.26,2.0,3.0,5.0,0.22314355131420976,6498.271132348542
69,0.34,Ideal,E,VVS2,62.3,57.0,4.48,4.44,2.78,6.0,5.0,5.0,-1.0788096613719298,937.9882302555657
70,0.36,Premium,I,VS2,62.7,59.0,4.54,4.58,2.86,4.0,1.0,4.0,-1.0216512475319814,867.4823259621772
71,0.34,Ideal,G,SI1,61.2,57.0,4.56,4.53,2.78,1.0,3.0,5.0,-1.0788096613719298,599.857656588413
72,1.12,Good,E,SI1,64.3,57.0,6.56,6.5,4.2,1.0,5.0,2.0,0.11332868530700327,4897.403599676401
73,0.3,Ideal,H,VS1,61.6,55.0,4.27,4.3,2.64,3.0,2.0,5.0,-1.2039728043259361,575.3938686870692
74,0.36,Ideal,D,SI1,62.0,56.0,4.61,4.55,2.84,1.0,6.0,5.0,-1.0216512475319814,663.393368464695
75,0.71,Ideal,F,VVS1,61.1,54.0,5.78,5.84,3.55,5.0,4.0,5.0,-0.342490308946776,3137.688075252464
76,0.32,Premium,G,VS2,62.6,60.0,4.33,4.36,2.72,4.0,3.0,4.0,-1.1394342831883648,704.9581662241728
77,0.5,Premium,E,VS2,61.3,60.0,5.11,5.07,3.12,4.0,5.0,4.0,-0.6931471805599453,1547.2036039883762
78,0.51,Very Good,E,SI1,63.3,59.0,5.09,5.05,3.21,1.0,5.0,3.0,-0.6733445532637656,1225.1967520822225
79,0.58,Ideal,J,VS1,61.9,58.0,5.31,5.35,3.3,3.0,0.0,5.0,-0.5447271754416722,1837.5977555599766
80,0.3,Ideal,F,IF,62.5,54.0,4.31,4.33,2.7,7.0,4.0,5.0,-1.2039728043259361,822.7816090466741
81,0.39,Ideal,G,VVS1,62.3,57.0,4.7,4.64,2.91,5.0,3.0,5.0,-0.941608539858445,1092.2412334583698
82,0.31,Ideal,F,VS2,61.8,56.0,4.37,4.33,2.69,4.0,4.0,5.0,-1.171182981502945,666.6185680791125
83,0.9,Very Good,H,VS1,60.5,63.0,6.13,6.16,3.72,3.0,2.0,3.0,-0.10536051565782628,3984.1972480272398
84,0.81,Premium,G,SI2,61.7,57.0,5.99,5.94,3.68,2.0,3.0,4.0,-0.21072103131565253,3026.3295808637945
85,0.7,Premium,E,SI2,61.1,61.0,5.74,5.69,3.49,2.0,5.0,4.0,-0.35667494393873245,2340.2907863434048
86,0.38,Very Good,J,VS2,60.5,60.0,4.64,4.68,2.82,4.0,0.0,3.0,-0.9675840262617056,954.1550845146705
87,0.71,Very Good,G,SI1,60.0,59.0,5.76,5.8,3.47,1.0,3.0,3.0,-0.342490308946776,2194.271797645859
88,0.71,Very Good,D,VS2,63.1,58.0,5.67,5.7,3.59,4.0,6.0,3.0,-0.342490308946776,2869.3262448799096
89,0.9,Very Good,H,VS1,62.1,59.0,6.09,6.14,3.8,3.0,2.0,3.0,-0.10536051565782628,3984.1972480272398
90,0.74,Very Good,F,SI2,63.2,58.0,5.75,5.71,3.62,2.0,4.0,3.0,-0.3011050927839216,2580.9380624651462
91,1.5,Premium,H,VS2,62.4,59.0,7.32,7.29,4.56,4.0,2.0,4.0,0.4054651081081644,10713.295147225195
92,1.5,Very Good,F,SI1,63.0,55.0,7.27,7.31,4.59,1.0,4.0,3.0,0.4054651081081644,8192.82277271903
93,0.42,Ideal,F,VS1,61.0,57.0,4.87,4.84,2.96,3.0,4.0,5.0,-0.8675005677047231,1040.7520073551443
94,1.01,Premium,G,VS2,61.6,58.0,6.45,6.4,3.96,4.0,3.0,4.0,0.009950330853168092,5337.979157911036
95,2.48,Premium,I,SI2,63.0,62.0,8.62,8.58,5.42,2.0,1.0,4.0,0.9082585601768908,21720.591438502088
96,1.02,Ideal,F,VVS2,61.1,56.3,6.48,6.52,3.97,6.0,4.0,5.0,0.01980262729617973,6494.907799753804
97,0.4,Ideal,D,VS2,61.3,57.0,4.77,4.75,2.92,4.0,6.0,5.0,-0.916290731874155,1044.3724505381579
98,0.7,Ideal,F,SI1,61.3,57.0,5.76,5.79,3.54,1.0,4.0,5.0,-0.35667494393873245,2140.1291692659643
99,1.01,Good,E,VS2,62.5,58.0,6.32,6.36,3.96,4.0,5.0,2.0,0.009950330853168092,5337.979157911036
100,1.13,Very Good,I,VS2,60.7,58.0,6.72,6.75,4.09,4.0,1.0,3.0,0.12221763272424911,6505.11445489467
101,1.09,Ideal,I,VS2,61.9,56.0,6.62,6.67,4.09,4.0,1.0,5.0,0.08617769624105241,6105.011001898235
102,0.7,Very Good,E,VS2,62.7,58.0,5.65,5.67,3.55,4.0,5.0,3.0,-0.35667494393873245,2798.5269643423358
103,1.0,Premium,F,SI1,60.8,59.0,6.44,6.38,3.9,1.0,4.0,4.0,0.0,4011.214901553713
104,1.52,Ideal,H,VS2,61.8,54.0,7.42,7.43,4.59,4.0,2.0,5.0,0.41871033485818504,10966.16840744068
105,0.41,Ideal,G,VVS2,62.2,56.0,4.75,4.8,2.97,6.0,3.0,5.0,-0.8915981192837836,1304.3781558543533
106,0.43,Very Good,J,VS2,60.9,59.0,4.86,4.9,2.97,4.0,0.0,3.0,-0.843970070294529,1186.2509661228867
107,0.31,Very Good,E,SI2,60.8,61.0,4.39,4.43,2.68,2.0,5.0,3.0,-1.171182981502945,557.4651639090445
108,0.33,Ideal,G,VS2,62.2,56.0,4.47,4.44,2.77,4.0,3.0,5.0,-1.1086626245216111,744.2209745098921
109,0.7,Premium,E,VS2,61.0,59.0,5.74,5.7,3.49,4.0,5.0,4.0,-0.35667494393873245,2798.5269643423358
110,0.33,Ideal,G,VVS2,62.5,54.0,4.41,4.45,2.77,6.0,3.0,5.0,-1.1086626245216111,889.9417443117057
111,1.16,Premium,H,SI2,62.6,57.0,6.75,6.67,4.2,2.0,2.0,4.0,0.14842000511827322,5696.899870929795
112,0.51,Ideal,E,VS2,61.8,57.0,5.15,5.14,3.18,4.0,5.0,5.0,-0.6733445532637656,1602.1211226716603
113,1.13,Good,G,I1,63.4,58.0,6.58,6.61,4.18,0.0,3.0,2.0,0.12221763272424911,4549.205926942018
114,0.52,Premium,E,VS2,62.5,60.0,5.1,5.14,3.2,4.0,5.0,4.0,-0.6539264674066639,1657.864652362153
115,0.23,Very Good,F,VVS2,61.4,56.0,3.94,3.97,2.43,6.0,4.0,3.0,-1.4696759700589417,471.2018704350384
116,0.5,Fair,F,SI1,64.7,60.0,4.99,4.84,3.18,1.0,4.0,1.0,-0.6931471805599453,1183.199449524367
117,1.08,Very Good,D,VS1,60.5,58.0,6.53,6.63,3.98,3.0,6.0,3.0,0.0769610411361284,5492.959540418315
118,0.3,Premium,G,VS1,62.2,59.0,4.31,4.28,2.67,3.0,3.0,4.0,-1.2039728043259361,575.3938686870692
119,0.48,Ideal,J,VS1,62.2,54.0,5.01,5.06,3.13,3.0,0.0,5.0,-0.7339691750802004,1316.713049010168
120,1.51,Ideal,J,VS1,61.6,58.0,7.35,7.43,4.55,3.0,0.0,5.0,0.412109650826833,9912.334029022553
121,1.03,Premium,F,SI2,62.4,59.0,6.45,6.38,4.0,2.0,4.0,4.0,0.02955880224154443,4620.793499000273
122,0.31,Very Good,G,VVS2,63.4,59.0,4.29,4.26,2.71,6.0,3.0,3.0,-1.171182981502945,797.1445465610315
123,0.4,Ideal,G,IF,62.3,55.0,4.74,4.76,2.96,7.0,3.0,5.0,-0.916290731874155,1365.6673184122646
124,1.03,Ideal,E,VS2,61.7,56.0,6.45,6.54,4.01,4.0,5.0,5.0,0.02955880224154443,5525.5591651560435
125,1.16,Premium,J,SI1,62.5,58.0,6.73,6.67,4.19,1.0,0.0,4.0,0.14842000511827322,5209.6524326423305
126,1.04,Very Good,J,SI2,62.8,57.0,6.44,6.5,4.06,2.0,0.0,3.0,0.03922071315328133,4700.10294311568
127,0.71,Premium,E,VS2,61.5,60.0,5.76,5.68,3.52,4.0,5.0,4.0,-0.342490308946776,2869.3262448799096
128,0.29,Very Good,H,VVS2,61.2,56.0,4.26,4.29,2.61,6.0,2.0,3.0,-1.2378743560016174,708.7971948304445
129,1.09,Ideal,G,SI2,61.2,57.0,6.68,6.63,4.07,2.0,3.0,5.0,0.08617769624105241,5105.364779511849
130,0.74,Ideal,F,VS1,62.3,56.0,5.76,5.79,3.6,3.0,4.0,5.0,-0.3011050927839216,2822.3275746397444
131,0.42,Ideal,D,VS2,62.4,55.0,4.82,4.8,3.0,4.0,6.0,5.0,-0.8675005677047231,1138.0912744238935
132,0.54,Ideal,I,SI1,62.0,55.0,5.21,5.25,3.24,1.0,1.0,5.0,-0.616186139423817,1354.9671183967516
133,0.51,Ideal,E,VS2,62.6,55.0,5.08,5.11,3.19,4.0,5.0,5.0,-0.6733445532637656,1602.1211226716603
134,1.01,Premium,F,SI2,58.8,61.0,6.53,6.46,3.82,2.0,4.0,4.0,0.009950330853168092,4463.928202274121
135,1.0,Premium,H,VS2,59.4,61.0,6.51,6.46,3.85,4.0,2.0,4.0,0.0,5245.240905538448
136,1.02,Premium,H,VS2,61.0,60.0,6.5,6.46,3.95,4.0,2.0,4.0,0.01980262729617973,5431.419127128468
137,0.73,Good,E,VS1,60.8,61.0,5.77,5.8,3.52,3.0,5.0,2.0,-0.31471074483970024,2755.4965577432645
